Name,Price,Rating,Review Count,URL
BraZen Sentinel Elite Computer PC Office Racing Esports Gaming Chair Ergonomic Reclining Pu Leather Seat with Adjustable Arms - Blue - Largest British Owned Gaming Chair Brand,£159.95,4.3 out of 5 stars,102,https://amazon.co.uk/BraZen-Sentinel-Elite-Gaming-Chair/dp/B08775C1PL/ref=sr_1_43?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-43
BraZen Serpent 2.1 Bluetooth Surround Sound Gaming Chair Foldable Pu Leather Seat with Pedestal Base - Blue,£199.00,4.3 out of 5 stars,236,https://amazon.co.uk/BraZen-Serpent-Bluetooth-Surround-Gaming/dp/B087Z41JTB/ref=sr_1_44?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-44
"Luckracer Gaming Chair Massage With Footrest Ergonomic Computer Chair Reclining High Back Support Height Adjustable Heavy Duty, Black",£139.90,4.4 out of 5 stars,"3,415",https://amazon.co.uk/Luckracer-Massage-Footrest-Cushion-Armrest/dp/B085DPPFT9/ref=sr_1_45?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-45
Kamco PU Red Leather Ergonomic Gaming Office Racing Chair Reclining Lumbar Support Pillows,£89.99,4.0 out of 5 stars,1,https://amazon.co.uk/Kamco-Leather-Ergonomic-Reclining-Support/dp/B09QMFN4DV/ref=sr_1_46?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-46
"Fullwatt Computer Gaming Chair with Footrest and Adjustable Arms Reclining Swivel Chair, Desk Chair High Back with PU Leather for Home Office, white",£139.00,4.6 out of 5 stars,429,https://amazon.co.uk/Fullwatt-Adjustable-Ergonomic-Computer-Footrest/dp/B088BC1PB2/ref=sr_1_47?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-47
"Woxter Stinger Station Army – Gaming Chair (Steel Sheet, Lift (Gas Piston Class 4), Military Design, Ergonomic, Padded Armrests, Adjustable Height, Anti-Scratch Wheels, Lumbar Cushion",,,,https://amazon.co.uk/Woxter-Stinger-Station-Army-Anti-Scratch/dp/B07PM18Y64/ref=sr_1_48?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-48
"YOURLITEAMZ Racing Gaming Chair with Massage, Office Ergonomic Computer Desk Chair with Padded Footrest Support, Swivel High Back Recliner, High-Adjustable Cushion, PU Leather for Home Office（Grey）",£135.00,4.5 out of 5 stars,"2,372",https://amazon.co.uk/YOURLITEAMZ-Ergonomic-Computer-High-Adjustable-Office%EF%BC%88Grey%EF%BC%89/dp/B08G1SG4X5/ref=sr_1_49?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-49
Olsen & Smith XTREME New and Improved 2022 Model Gaming Chair Ergonomic Office Desk PC Computer Recliner Swivel Chair Detachable Padded Head Rest Lumbar Support Cushion & Footrest (Black/Red),£149.99,4.4 out of 5 stars,610,https://amazon.co.uk/Olsen-Smith-Ergonomic-Computer-Detachable/dp/B0897VFT1C/ref=sr_1_50?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-50
"IntimaTe WM Heart Racing Chair Computer Chair, PU Gaming Chair with Headrest&Lumbar Cushion, 135 Degree Reclining Angle Blue",£99.99,4.3 out of 5 stars,912,https://amazon.co.uk/IntimaTe-WM-Heart-Computer-Reclining/dp/B07MD5DMB5/ref=sr_1_51?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-51
"AutoFull Gaming Chair Ergonomic Office Chair High Back Swivel Chair Racing Pu Leather Computer Chair With Arms,Thicker Bucket Seat,Adjustable Height,Headrest And Back Support,Blue (3 Year Warranty)",£249.99,4.5 out of 5 stars,"1,657",https://amazon.co.uk/AutoFull-Ergonomic-Computer-Adjustable-Headrest/dp/B08DTXS8PG/ref=sr_1_52?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-52
